P_SEQ,M_SEQ,M_NAME,A_SEQ,A_NAME,A_UNIT,A_PRICE,P_YEAR_MONTH,ADD_COL,P_DATE,M_TYPE_CODE,M_TYPE_NAME,M_GU_CODE,M_GU_NAME
352744,120,망원시장,21,콩나물 500g,,1000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352745,120,망원시장,24,토마토 1kg ,,7000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352699,120,망원시장,58,분유 800g,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352746,120,망원시장,65,통조림(참치) 150g,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352747,120,망원시장,27,파프리카 200g,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352655,120,망원시장,42,갈치 1마리,,15000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352658,120,망원시장,37,계란 10개,,2500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352664,120,망원시장,103,굴 1kg,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352676,120,망원시장,35,돼지고기 100g,,2300,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352700,120,망원시장,96,브로콜리(국산) 1개,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352748,120,망원시장,5,포도(샤인머스켓) 1kg,,10000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352749,120,망원시장,28,풋고추 100g,,2000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352701,120,망원시장,80,비누 4개입 1개,,5800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352750,120,망원시장,72,햄 340g,,5900,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352677,120,망원시장,48,된장 1kg,,7800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352702,120,망원시장,64,빵 3개입,,3800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352703,120,망원시장,2,사과 1개,,2500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352665,120,망원시장,50,굵은소금(천일염) 1kg,,6950,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352678,120,망원시장,68,두부 380g,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352704,120,망원시장,79,사이다 1.5L 1병,,2800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352705,120,망원시장,16,상추 100g,,1000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352679,120,망원시장,11,딸기 100g,,6000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352706,120,망원시장,44,새우(흰다리새우) 1kg,,10000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352707,120,망원시장,100,새우젓 1kg,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352659,120,망원시장,20,고구마 1kg,,3000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352666,120,망원시장,7,귤 10개,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352680,120,망원시장,61,라면 5개입 1봉,,4500,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352708,120,망원시장,98,생강 1kg,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352709,120,망원시장,77,생수 500ml 1병,,600,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352681,120,망원시장,45,마른멸치 100g,,3000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352710,120,망원시장,83,샴푸 680ml 1통,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352711,120,망원시장,51,설탕 1kg,,2800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352667,120,망원시장,26,깐마늘 1kg,,10000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352682,120,망원시장,54,마요네즈 500g,,5800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352712,120,망원시장,33,소고기(국산) 100g,,14000,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352713,120,망원시장,34,소고기(수입) 100g,,4800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352683,120,망원시장,63,만두 1800g,,9800,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352714,120,망원시장,67,소시지 1kg,,0,Jun-24,,2024-06-01,1,전통시장,440000,마포구
352715,120,망원시장,75,"소주 360ml, 1병",,1650,Jun-24,,2024-06-01,1,전통시장,440000,마포구
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
